,survived,sex,age,passengerClass,passengerClass
"Ling, Mr. Lee",0,male,28,3rd,3rd
"Lithman, Mr. Simon",0,male,NA,3rd,3rd
"Lobb, Mr. William Arthur",0,male,30,3rd,3rd
"Lobb, Mrs. William Arthur (Cord",0,female,26,3rd,3rd
"Lockyer, Mr. Edward",0,male,NA,3rd,3rd
"Lovell, Mr. John Hall (Henry)",0,male,20.5,3rd,3rd
"Lulic, Mr. Nikola",1,male,27,3rd,3rd
"Lundahl, Mr. Johan Svensson",0,male,51,3rd,3rd
"Lundin, Miss. Olga Elida",1,female,23,3rd,3rd
"Lundstrom, Mr. Thure Edvin",1,male,32,3rd,3rd
"Lyntakoff, Mr. Stanko",0,male,NA,3rd,3rd
"MacKay, Mr. George William",0,male,NA,3rd,3rd
"Madigan, Miss. Margaret Maggie",1,female,NA,3rd,3rd
"Madsen, Mr. Fridtjof Arne",1,male,24,3rd,3rd
"Maenpaa, Mr. Matti Alexanteri",0,male,22,3rd,3rd
"Mahon, Miss. Bridget Delia",0,female,NA,3rd,3rd
"Mahon, Mr. John",0,male,NA,3rd,3rd
"Maisner, Mr. Simon",0,male,NA,3rd,3rd
"Makinen, Mr. Kalle Edvard",0,male,29,3rd,3rd
"Mamee, Mr. Hanna",1,male,NA,3rd,3rd
"Mangan, Miss. Mary",0,female,30.5,3rd,3rd
"Mannion, Miss. Margareth",1,female,NA,3rd,3rd
"Mardirosian, Mr. Sarkis",0,male,NA,3rd,3rd
"Markoff, Mr. Marin",0,male,35,3rd,3rd
"Markun, Mr. Johann",0,male,33,3rd,3rd
"Masselmani, Mrs. Fatima",1,female,NA,3rd,3rd
"Mati0ff, Mr. Nicola",0,male,NA,3rd,3rd
"McCarthy, Miss. Catherine Kati",1,female,NA,3rd,3rd
"McCormack, Mr. Thomas Joseph",1,male,NA,3rd,3rd
"McCoy, Miss. Agnes",1,female,NA,3rd,3rd
"McCoy, Miss. Alicia",1,female,NA,3rd,3rd
"McCoy, Mr. Bernard",1,male,NA,3rd,3rd
"McDermott, Miss. Brigdet Delia",1,female,NA,3rd,3rd
"McEvoy, Mr. Michael",0,male,NA,3rd,3rd
"McGovern, Miss. Mary",1,female,NA,3rd,3rd
"McGowan, Miss. Anna Annie",1,female,15,3rd,3rd
"McGowan, Miss. Katherine",0,female,35,3rd,3rd
"McMahon, Mr. Martin",0,male,NA,3rd,3rd
"McNamee, Mr. Neal",0,male,24,3rd,3rd
"McNamee, Mrs. Neal (Eileen O'Le",0,female,19,3rd,3rd
"McNeill, Miss. Bridget",0,female,NA,3rd,3rd
"Meanwell, Miss. (Marion Ogden)",0,female,NA,3rd,3rd
"Meek, Mrs. Thomas (Annie Louise",0,female,NA,3rd,3rd
"Meo, Mr. Alfonzo",0,male,55.5,3rd,3rd
"Mernagh, Mr. Robert",0,male,NA,3rd,3rd
"Midtsjo, Mr. Karl Albert",1,male,21,3rd,3rd
"Miles, Mr. Frank",0,male,NA,3rd,3rd
"Mineff, Mr. Ivan",0,male,24,3rd,3rd
"Minkoff, Mr. Lazar",0,male,21,3rd,3rd
"Mio0ff, Mr. Stoytcho",0,male,28,3rd,3rd
"Mitkoff, Mr. Mito",0,male,NA,3rd,3rd
"Mockler, Miss. Helen Mary Elli",1,female,NA,3rd,3rd
"Moen, Mr. Sigurd Hansen",0,male,25,3rd,3rd
"Moor, Master. Meier",1,male,6,3rd,3rd
"Moor, Mrs. (Beila)",1,female,27,3rd,3rd
"Moore, Mr. Leonard Charles",0,male,NA,3rd,3rd
"Moran, Miss. Bertha",1,female,NA,3rd,3rd
"Moran, Mr. Daniel J",0,male,NA,3rd,3rd
"Moran, Mr. James",0,male,NA,3rd,3rd
"Morley, Mr. William",0,male,34,3rd,3rd
"Morrow, Mr. Thomas Rowan",0,male,NA,3rd,3rd
"Moss, Mr. Albert Johan",1,male,NA,3rd,3rd
"Moubarek, Master. Gerios",1,male,NA,3rd,3rd
"Moubarek, Master. Halim Gonios",1,male,NA,3rd,3rd
"Moubarek, Mrs. George (Omine A",1,female,NA,3rd,3rd
"Moussa, Mrs. (Mantoura Boulos)",1,female,NA,3rd,3rd
"Moutal, Mr. Rahamin Haim",0,male,NA,3rd,3rd
"Mullens, Miss. Katherine Katie",1,female,NA,3rd,3rd
"Mulvihill, Miss. Bertha E",1,female,24,3rd,3rd
"Murdlin, Mr. Joseph",0,male,NA,3rd,3rd
"Murphy, Miss. Katherine Kate",1,female,NA,3rd,3rd
"Murphy, Miss. Margaret Jane",1,female,NA,3rd,3rd
"Murphy, Miss. 0ra",1,female,NA,3rd,3rd
"Myhrman, Mr. Pehr Fabian Oliver",0,male,18,3rd,3rd
"Naide0ff, Mr. Penko",0,male,22,3rd,3rd
"Najib, Miss. Adele Kiamie Jane",1,female,15,3rd,3rd
"Nakid, Miss. Maria (Mary)",1,female,1,3rd,3rd
"Nakid, Mr. Sahid",1,male,20,3rd,3rd
"Nakid, Mrs. Said (Waika Mary",1,female,19,3rd,3rd
"Nancarrow, Mr. William Henry",0,male,33,3rd,3rd
"Nankoff, Mr. Minko",0,male,NA,3rd,3rd
"Nasr, Mr. Mustafa",0,male,NA,3rd,3rd
"Naughton, Miss. Hannah",0,female,NA,3rd,3rd
"Nenkoff, Mr. Christo",0,male,NA,3rd,3rd
"Nicola-Yarred, Master. Elias",1,male,12,3rd,3rd
"Nicola-Yarred, Miss. Jamila",1,female,14,3rd,3rd
"Nieminen, Miss. Manta Josefina",0,female,29,3rd,3rd
"Niklasson, Mr. Samuel",0,male,28,3rd,3rd
"Nilsson, Miss. Berta Olivia",1,female,18,3rd,3rd
"Nilsson, Miss. Helmina Josefina",1,female,26,3rd,3rd
"Nilsson, Mr. August Ferdinand",0,male,21,3rd,3rd
"Nirva, Mr. Iisakki Anti0 Aijo",0,male,41,3rd,3rd
"Niskanen, Mr. Juha",1,male,39,3rd,3rd
"0sworthy, Mr. Richard Cater",0,male,21,3rd,3rd
"0vel, Mr. Mansouer",0,male,28.5,3rd,3rd
"Nysten, Miss. Anna Sofia",1,female,22,3rd,3rd
"Nysveen, Mr. Johan Hansen",0,male,61,3rd,3rd
"O'Brien, Mr. Thomas",0,male,NA,3rd,3rd
"O'Brien, Mr. Timothy",0,male,NA,3rd,3rd
"O'Brien, Mrs. Thomas (Johanna ",1,female,NA,3rd,3rd
"O'Connell, Mr. Patrick D",0,male,NA,3rd,3rd
"O'Con0r, Mr. Maurice",0,male,NA,3rd,3rd
"O'Con0r, Mr. Patrick",0,male,NA,3rd,3rd
"Odahl, Mr. Nils Martin",0,male,23,3rd,3rd
"O'Do0ghue, Ms. Bridget",0,female,NA,3rd,3rd
"O'Driscoll, Miss. Bridget",1,female,NA,3rd,3rd
"O'Dwyer, Miss. Ellen Nellie",1,female,NA,3rd,3rd
"Ohman, Miss. Velin",1,female,22,3rd,3rd
"O'Keefe, Mr. Patrick",1,male,NA,3rd,3rd
"O'Leary, Miss. Ha0ra 0rah",1,female,NA,3rd,3rd
"Olsen, Master. Artur Karl",1,male,9,3rd,3rd
"Olsen, Mr. Henry Margido",0,male,28,3rd,3rd
"Olsen, Mr. Karl Siegwart Andrea",0,male,42,3rd,3rd
"Olsen, Mr. Ole Martin",0,male,NA,3rd,3rd
"Olsson, Miss. Elina",0,female,31,3rd,3rd
"Olsson, Mr. Nils Johan Goransso",0,male,28,3rd,3rd
"Olsson, Mr. Oscar Wilhelm",1,male,32,3rd,3rd
"Olsvigen, Mr. Thor Anderson",0,male,20,3rd,3rd
"Oreskovic, Miss. Jelka",0,female,23,3rd,3rd
"Oreskovic, Miss. Marija",0,female,20,3rd,3rd
"Oreskovic, Mr. Luka",0,male,20,3rd,3rd
"Osen, Mr. Olaf Elon",0,male,16,3rd,3rd
"Osman, Mrs. Mara",1,female,31,3rd,3rd
"O'Sullivan, Miss. Bridget Mary",0,female,NA,3rd,3rd
"Palsson, Master. Gosta Leonard",0,male,2,3rd,3rd
"Palsson, Master. Paul Folke",0,male,6,3rd,3rd
"Palsson, Miss. Stina Viola",0,female,3,3rd,3rd
"Palsson, Miss. Torborg Danira",0,female,8,3rd,3rd
"Palsson, Mrs. Nils (Alma Cornel",0,female,29,3rd,3rd
"Panula, Master. Ei0 Viljami",0,male,1,3rd,3rd
"Panula, Master. Juha Niilo",0,male,7,3rd,3rd
"Panula, Master. Urho Abraham",0,male,2,3rd,3rd
"Panula, Mr. Ernesti Arvid",0,male,16,3rd,3rd
"Panula, Mr. Jaako Ar0ld",0,male,14,3rd,3rd
"Panula, Mrs. Juha (Maria Emilia",0,female,41,3rd,3rd
"Pasic, Mr. Jakob",0,male,21,3rd,3rd
"Patchett, Mr. George",0,male,19,3rd,3rd
"Paulner, Mr. Uscher",0,male,NA,3rd,3rd
"Pavlovic, Mr. Stefo",0,male,32,3rd,3rd
"Peacock, Master. Alfred Edward",0,male,0.75,3rd,3rd
"Peacock, Miss. Treasteall",0,female,3,3rd,3rd
"Peacock, Mrs. Benjamin (Edith N",0,female,26,3rd,3rd
"Pearce, Mr. Ernest",0,male,NA,3rd,3rd
"Pedersen, Mr. Olaf",0,male,NA,3rd,3rd
"Peduzzi, Mr. Joseph",0,male,NA,3rd,3rd
"Pekoniemi, Mr. Edvard",0,male,21,3rd,3rd
"Peltomaki, Mr. Nikolai Johannes",0,male,25,3rd,3rd
"Perkin, Mr. John Henry",0,male,22,3rd,3rd
"Persson, Mr. Ernst Ulrik",1,male,25,3rd,3rd
"Peter, Master. Michael J",1,male,NA,3rd,3rd
"Peter, Miss. Anna",1,female,NA,3rd,3rd
"Peter, Mrs. Catherine (Catherin",1,female,NA,3rd,3rd
"Peters, Miss. Katie",0,female,NA,3rd,3rd
"Petersen, Mr. Marius",0,male,24,3rd,3rd
"Petranec, Miss. Matilda",0,female,28,3rd,3rd
"Petroff, Mr. Nedelio",0,male,19,3rd,3rd
"Petroff, Mr. Pastcho (Pentcho",0,male,NA,3rd,3rd
"Petterson, Mr. Johan Emil",0,male,25,3rd,3rd
"Pettersson, Miss. Ellen Natalia",0,female,18,3rd,3rd
"Pickard, Mr. Berk (Berk Trembis",1,male,32,3rd,3rd
"Plotcharsky, Mr. Vasil",0,male,NA,3rd,3rd
"Pokrnic, Mr. Mate",0,male,17,3rd,3rd
"Pokrnic, Mr. Tome",0,male,24,3rd,3rd
"Radeff, Mr. Alexander",0,male,NA,3rd,3rd
"Rasmussen, Mrs. (Lena Jacobsen",0,female,NA,3rd,3rd
"Razi, Mr. Raihed",0,male,NA,3rd,3rd
"Reed, Mr. James George",0,male,NA,3rd,3rd
"Rekic, Mr. Tido",0,male,38,3rd,3rd
"Rey0lds, Mr. Harold J",0,male,21,3rd,3rd
"Rice, Master. Albert",0,male,10,3rd,3rd
"Rice, Master. Arthur",0,male,4,3rd,3rd
"Rice, Master. Eric",0,male,7,3rd,3rd
"Rice, Master. Eugene",0,male,2,3rd,3rd
"Rice, Master. George Hugh",0,male,8,3rd,3rd
"Rice, Mrs. William (Margaret 0",0,female,39,3rd,3rd
"Riihivouri, Miss. Susanna Juhan",0,female,22,3rd,3rd
"Rintamaki, Mr. Matti",0,male,35,3rd,3rd
"Riordan, Miss. Johanna Hannah",1,female,NA,3rd,3rd
"Risien, Mr. Samuel Beard",0,male,NA,3rd,3rd
"Risien, Mrs. Samuel (Emma)",0,female,NA,3rd,3rd
"Robins, Mr. Alexander A",0,male,50,3rd,3rd
"Robins, Mrs. Alexander A (Grace",0,female,47,3rd,3rd
"Rogers, Mr. William John",0,male,NA,3rd,3rd
"Rommetvedt, Mr. Knud Paust",0,male,NA,3rd,3rd
"Rosblom, Miss. Salli Helena",0,female,2,3rd,3rd
"Rosblom, Mr. Viktor Richard",0,male,18,3rd,3rd
"Rosblom, Mrs. Viktor (Helena Wi",0,female,41,3rd,3rd
"Roth, Miss. Sarah A",1,female,NA,3rd,3rd
"Rouse, Mr. Richard Henry",0,male,50,3rd,3rd
"Rush, Mr. Alfred George John",0,male,16,3rd,3rd
"Ryan, Mr. Edward",1,male,NA,3rd,3rd
"Ryan, Mr. Patrick",0,male,NA,3rd,3rd
"Saad, Mr. Amin",0,male,NA,3rd,3rd
"Saad, Mr. Khalil",0,male,25,3rd,3rd
"Saade, Mr. Jean Nassr",0,male,NA,3rd,3rd
"Sadlier, Mr. Matthew",0,male,NA,3rd,3rd
"Sadowitz, Mr. Harry",0,male,NA,3rd,3rd
"Saether, Mr. Simon Sivertsen",0,male,38.5,3rd,3rd
"Sage, Master. Thomas Henry",0,male,NA,3rd,3rd
"Sage, Master. William Henry",0,male,14.5,3rd,3rd
"Sage, Miss. Ada",0,female,NA,3rd,3rd
"Sage, Miss. Constance Gladys",0,female,NA,3rd,3rd
"Sage, Miss. Dorothy Edith Doll",0,female,NA,3rd,3rd
"Sage, Miss. Stella Anna",0,female,NA,3rd,3rd
"Sage, Mr. Douglas Bullen",0,male,NA,3rd,3rd
"Sage, Mr. Frederick",0,male,NA,3rd,3rd
"Sage, Mr. George John Jr",0,male,NA,3rd,3rd
"Sage, Mr. John George",0,male,NA,3rd,3rd
"Sage, Mrs. John (Annie Bullen)",0,female,NA,3rd,3rd
"Salander, Mr. Karl Johan",0,male,24,3rd,3rd
"Salkjelsvik, Miss. Anna Kristin",1,female,21,3rd,3rd
"Salonen, Mr. Johan Werner",0,male,39,3rd,3rd
"Samaan, Mr. Elias",0,male,NA,3rd,3rd
"Samaan, Mr. Hanna",0,male,NA,3rd,3rd
"Samaan, Mr. Youssef",0,male,NA,3rd,3rd
"Sandstrom, Miss. Beatrice Irene",1,female,1,3rd,3rd
"Sandstrom, Mrs. Hjalmar (Agnes",1,female,24,3rd,3rd
"Sandstrom, Miss. Marguerite Rut",1,female,4,3rd,3rd
"Sap, Mr. Julius",1,male,25,3rd,3rd
"Saundercock, Mr. William Henry",0,male,20,3rd,3rd
"Sawyer, Mr. Frederick Charles",0,male,24.5,3rd,3rd
"Scanlan, Mr. James",0,male,NA,3rd,3rd
"Sdycoff, Mr. Todor",0,male,NA,3rd,3rd
"Shaughnessy, Mr. Patrick",0,male,NA,3rd,3rd
"Sheerlinck, Mr. Jan Baptist",1,male,29,3rd,3rd
"Shellard, Mr. Frederick William",0,male,NA,3rd,3rd
"Shine, Miss. Ellen Natalia",1,female,NA,3rd,3rd
"Shorney, Mr. Charles Joseph",0,male,NA,3rd,3rd
"Simmons, Mr. John",0,male,NA,3rd,3rd
"Sirayanian, Mr. Orsen",0,male,22,3rd,3rd
"Sirota, Mr. Maurice",0,male,NA,3rd,3rd
"Sivic, Mr. Husein",0,male,40,3rd,3rd
"Sivola, Mr. Antti Wilhelm",0,male,21,3rd,3rd
"Sjoblom, Miss. Anna Sofia",1,female,18,3rd,3rd
"Skoog, Master. Harald",0,male,4,3rd,3rd
"Skoog, Master. Karl Thorsten",0,male,10,3rd,3rd
"Skoog, Miss. Mabel",0,female,9,3rd,3rd
"Skoog, Miss. Margit Elizabeth",0,female,2,3rd,3rd
"Skoog, Mr. Wilhelm",0,male,40,3rd,3rd
"Skoog, Mrs. William (Anna Bernh",0,female,45,3rd,3rd
"Slabe0ff, Mr. Petco",0,male,NA,3rd,3rd
"Slocovski, Mr. Selman Francis",0,male,NA,3rd,3rd
"Smiljanic, Mr. Mile",0,male,NA,3rd,3rd
"Smith, Mr. Thomas",0,male,NA,3rd,3rd
"Smyth, Miss. Julia",1,female,NA,3rd,3rd
"Soholt, Mr. Peter Andreas Lauri",0,male,19,3rd,3rd
"Somerton, Mr. Francis William",0,male,30,3rd,3rd
"Spector, Mr. Woolf",0,male,NA,3rd,3rd
"Spinner, Mr. Henry John",0,male,32,3rd,3rd
"Staneff, Mr. Ivan",0,male,NA,3rd,3rd
"Stankovic, Mr. Ivan",0,male,33,3rd,3rd
"Stanley, Miss. Amy Zillah Elsie",1,female,23,3rd,3rd
"Stanley, Mr. Edward Roland",0,male,21,3rd,3rd
"Storey, Mr. Thomas",0,male,60.5,3rd,3rd
"Stoytcheff, Mr. Ilia",0,male,19,3rd,3rd
"Strandberg, Miss. Ida Sofia",0,female,22,3rd,3rd
"Stranden, Mr. Juho",1,male,31,3rd,3rd
"Strilic, Mr. Ivan",0,male,27,3rd,3rd
"Strom, Miss. Telma Matilda",0,female,2,3rd,3rd
"Strom, Mrs. Wilhelm (Elna Matil",0,female,29,3rd,3rd
"Sunderland, Mr. Victor Francis",1,male,16,3rd,3rd
"Sundman, Mr. Johan Julian",1,male,44,3rd,3rd
"Sutehall, Mr. Henry Jr",0,male,25,3rd,3rd
"Svensson, Mr. Johan",0,male,74,3rd,3rd
"Svensson, Mr. Johan Cervin",1,male,14,3rd,3rd
"Svensson, Mr. Olof",0,male,24,3rd,3rd
"Tenglin, Mr. Gunnar Isidor",1,male,25,3rd,3rd
"Theobald, Mr. Thomas Leonard",0,male,34,3rd,3rd
"Thomas, Master. Assad Alexander",1,male,0.416700006,3rd,3rd
"Thomas, Mr. Charles P",0,male,NA,3rd,3rd
"Thomas, Mr. John",0,male,NA,3rd,3rd
"Thomas, Mr. Tan0us",0,male,NA,3rd,3rd
"Thomas, Mrs. Alexander (Thamine",1,female,16,3rd,3rd
"Thomson, Mr. Alexander Morrison",0,male,NA,3rd,3rd
"Thorneycroft, Mr. Percival",0,male,NA,3rd,3rd
"Thorneycroft, Mrs. Percival (Fl",1,female,NA,3rd,3rd
"Tikkanen, Mr. Juho",0,male,32,3rd,3rd
"Tobin, Mr. Roger",0,male,NA,3rd,3rd
"Todoroff, Mr. Lalio",0,male,NA,3rd,3rd
"Tomlin, Mr. Ernest Portage",0,male,30.5,3rd,3rd
"Torber, Mr. Ernst William",0,male,44,3rd,3rd
"Torfa, Mr. Assad",0,male,NA,3rd,3rd
"Tornquist, Mr. William Henry",1,male,25,3rd,3rd
"Toufik, Mr. Nakli",0,male,NA,3rd,3rd
"Touma, Master. Georges Youssef",1,male,7,3rd,3rd
"Touma, Miss. Maria Youssef",1,female,9,3rd,3rd
"Touma, Mrs. Darwis (Hanne Youss",1,female,29,3rd,3rd
"Turcin, Mr. Stjepan",0,male,36,3rd,3rd
"Turja, Miss. Anna Sofia",1,female,18,3rd,3rd
"Turkula, Mrs. (Hedwig)",1,female,63,3rd,3rd
"van Billiard, Master. James Wil",0,male,NA,3rd,3rd
"van Billiard, Master. Walter Jo",0,male,11.5,3rd,3rd
"van Billiard, Mr. Austin Blyler",0,male,40.5,3rd,3rd
"Van Impe, Miss. Catharina",0,female,10,3rd,3rd
"Van Impe, Mr. Jean Baptiste",0,male,36,3rd,3rd
"Van Impe, Mrs. Jean Baptiste (R",0,female,30,3rd,3rd
"van Melkebeke, Mr. Philemon",0,male,NA,3rd,3rd
"Vande Velde, Mr. Johannes Josep",0,male,33,3rd,3rd
"Vande Walle, Mr. Nestor Cyriel",0,male,28,3rd,3rd
"Vanden Steen, Mr. Leo Peter",0,male,28,3rd,3rd
"Vander Cruyssen, Mr. Victor",0,male,47,3rd,3rd
"Vander Planke, Miss. Augusta Ma",0,female,18,3rd,3rd
"Vander Planke, Mr. Julius",0,male,31,3rd,3rd
"Vander Planke, Mr. Leo Edmondus",0,male,16,3rd,3rd
"Vander Planke, Mrs. Julius (Eme",0,female,31,3rd,3rd
"Vartanian, Mr. David",1,male,22,3rd,3rd
"Vendel, Mr. Olof Edvin",0,male,20,3rd,3rd
"Vestrom, Miss. Hulda Amanda Ado",0,female,14,3rd,3rd
"Vovk, Mr. Janko",0,male,22,3rd,3rd
"Waelens, Mr. Achille",0,male,22,3rd,3rd
"Ware, Mr. Frederick",0,male,NA,3rd,3rd
"Warren, Mr. Charles William",0,male,NA,3rd,3rd
"Webber, Mr. James",0,male,NA,3rd,3rd
"Wenzel, Mr. Linhart",0,male,32.5,3rd,3rd
"Whabee, Mrs. George Joseph (Sha",1,female,38,3rd,3rd
"Widegren, Mr. Carl/Charles Pete",0,male,51,3rd,3rd
"Wiklund, Mr. Jakob Alfred",0,male,18,3rd,3rd
"Wiklund, Mr. Karl Johan",0,male,21,3rd,3rd
"Wilkes, Mrs. James (Ellen Needs",1,female,47,3rd,3rd
"Willer, Mr. Aaron (Abi Weller",0,male,NA,3rd,3rd
"Willey, Mr. Edward",0,male,NA,3rd,3rd
"Williams, Mr. Howard Hugh Harr",0,male,NA,3rd,3rd
"Williams, Mr. Leslie",0,male,28.5,3rd,3rd
"Windelov, Mr. Einar",0,male,21,3rd,3rd
"Wirz, Mr. Albert",0,male,27,3rd,3rd
"Wiseman, Mr. Phillippe",0,male,NA,3rd,3rd
"Wittevrongel, Mr. Camille",0,male,36,3rd,3rd
"Yasbeck, Mr. Antoni",0,male,27,3rd,3rd
"Yasbeck, Mrs. Antoni (Selini Al",1,female,15,3rd,3rd
"Youseff, Mr. Gerious",0,male,45.5,3rd,3rd
"Yousif, Mr. Wazli",0,male,NA,3rd,3rd
"Yousseff, Mr. Gerious",0,male,NA,3rd,3rd
"Zabour, Miss. Hileni",0,female,14.5,3rd,3rd
"Zabour, Miss. Thamine",0,female,NA,3rd,3rd
"Zakarian, Mr. Mapriededer",0,male,26.5,3rd,3rd
"Zakarian, Mr. Ortin",0,male,27,3rd,3rd
"Zimmerman, Mr. Leo",0,male,29,3rd,3rd
